Province No,District,Municipality,WardNo
Sudurpashchim Province,Bajhang,Surma municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Achham,Kamalbajar municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Achham,Chaurpati municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Achham,Dhakari municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Achham,Turmakhd municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Achham,Panchadewal Binayak municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Achham,Bannigadhi Jayagadh municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Achham,Mangalsen municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Sudurpashchim Province,Achham,Mellekh municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Achham,Ramaroshan municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Achham,SaMChebagar municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14"
Sudurpashchim Province,Doti,Adarsha municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Doti,Ki Singh municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Doti,Jorayal municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Doti,Dipayal Silgadi municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Doti,Purvichauki municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Doti,Baddikedar municipality,"1,2,3, 4,5"
Sudurpashchim Province,Doti,Bogatan municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Doti,Sikhar municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,Doti,Sayal municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Kailali,Kailari municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Kailali,Godawari municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Sudurpashchim Province,Kailali,Gauriganga municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,Kailali,Ghodaghodi municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Sudurpashchim Province,Kailali,Chure municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Kailali,Janaki municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Kailali,Joshipur municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Kailali,Tikapur municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Kailali,"Dhangadhi Sub-
MP municipality","1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Sudurpashchim Province,Kailali,Bardagoriya municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Kailali,Bhajani municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Kailali,Mohanyal municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Kailali,Lamkichuha municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,KanchaMCur,Krishnapur municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,KanchaMCur,Punarbash municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,KanchaMCur,Beldandi municipality,"1,2,3, 4,5"
Sudurpashchim Province,KanchaMCur,Belauri municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,KanchaMCur,Bhimdatta municipality,"1,2,3, 4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
Sudurpashchim Province,KanchaMCur,Mahakali municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,KanchaMCur,Laljhadi municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,KanchaMCur,Bedkot municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,KanchaMCur,Shuklaphanta municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Sudurpashchim Province,Dadeldhura,Ajayemeru municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Dadeldhura,Amargadhi municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,Dadeldhura,Alital municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Dadeldhura,Ganyapdhura municipality,"1,2,3, 4,5"
Sudurpashchim Province,Dadeldhura,Navadurga municipality,"1,2,3, 4,5"
Sudurpashchim Province,Dadeldhura,Parashuram municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Sudurpashchim Province,Dadeldhura,Bhageshor municipality,"1,2,3, 4,5,6,7,8,9,"
Sudurpashchim Province,Baitadi,Dilasaini municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Baitadi,Dasharatha Chand municipality,"1,2,3, 4,5,6,7,8,9,10,11"
Sudurpashchim Province,Baitadi,Dogadakedar municipality,"1,2,3, 4,5,6,7"
Sudurpashchim Province,Baitadi,Pancheshwor municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Baitadi,Patan municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Baitadi,Purchaudi municipality,"1,2,3, 4,5,6,7,8,9,10"
Sudurpashchim Province,Baitadi,Melauli municipality,"1,2,3, 4,5,6,7,8,9,10,11,12"
Sudurpashchim Province,Baitadi,Shivanath municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Baitadi,Sigas municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Baitadi,Surnya municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Darchula,Apihimal municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Darchula,Duhun municipality,"1,2,3, 4,5"
Sudurpashchim Province,Darchula,Naugad municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Darchula,Byas municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Darchula,Mahakali municipality,"1,2,3, 4,5,6,7,8,9"
Sudurpashchim Province,Darchula,Marma municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Darchula,Malikarjun municipality,"1,2,3, 4,5,6,7,8"
Sudurpashchim Province,Darchula,Lekam municipality,"1,2,3, 4,5,6"
Sudurpashchim Province,Darchula,Sailyashikhar municipality,"1,2,3, 4,5,6,7,8,9,10,11"
.,,,
.,,,
